date,city,precipitation,day_of_year,average,precipitation_or_average,year,month,month_no,month_and_year,season
2020-04-11,Seattle,0.0,102,0.242,0.0,2020,April,4,April 2020,Spring
2020-04-12,Seattle,0.0,103,0.198,0.0,2020,April,4,April 2020,Spring
2020-04-13,Seattle,0.0,104,0.10600000000000001,0.0,2020,April,4,April 2020,Spring
2020-04-14,Seattle,0.0,105,0.016,0.0,2020,April,4,April 2020,Spring
2020-04-15,Seattle,0.0,106,0.166,0.0,2020,April,4,April 2020,Spring
2020-04-16,Seattle,0.0,107,0.12000000000000002,0.0,2020,April,4,April 2020,Spring
2020-04-17,Seattle,0.0,108,0.016,0.0,2020,April,4,April 2020,Spring
2020-04-18,Seattle,0.0,109,0.036000000000000004,0.0,2020,April,4,April 2020,Spring
2020-04-19,Seattle,0.05,110,0.122,0.05,2020,April,4,April 2020,Spring
2020-04-20,Seattle,0.0,111,0.074,0.0,2020,April,4,April 2020,Spring
2020-04-21,Seattle,0.0,112,0.004,0.0,2020,April,4,April 2020,Spring
2020-04-22,Seattle,0.11,113,0.026000000000000002,0.11,2020,April,4,April 2020,Spring
2020-04-23,Seattle,0.41,114,0.092,0.41,2020,April,4,April 2020,Spring
2020-04-24,Seattle,0.21,115,0.06999999999999999,0.21,2020,April,4,April 2020,Spring
2020-04-25,Seattle,0.19,116,0.06999999999999999,0.19,2020,April,4,April 2020,Spring
2020-04-26,Seattle,0.14,117,0.074,0.14,2020,April,4,April 2020,Spring
2020-04-27,Seattle,0.14,118,0.122,0.14,2020,April,4,April 2020,Spring
2020-04-28,Seattle,0.09,119,0.11400000000000002,0.09,2020,April,4,April 2020,Spring
2020-04-29,Seattle,0.0,120,0.176,0.0,2020,April,4,April 2020,Spring
2020-04-30,Seattle,0.02,121,0.238,0.02,2020,April,4,April 2020,Spring
2020-05-01,Seattle,0.0,122,0.074,0.0,2020,May,5,May 2020,Spring
2020-05-02,Seattle,0.09,123,0.06,0.09,2020,May,5,May 2020,Spring
2020-05-03,Seattle,0.41,124,0.092,0.41,2020,May,5,May 2020,Spring
2020-05-04,Seattle,0.0,125,0.041999999999999996,0.0,2020,May,5,May 2020,Spring
2020-05-05,Seattle,0.0,126,0.3075,0.0,2020,May,5,May 2020,Spring
2020-05-06,Seattle,0.22,127,0.13199999999999998,0.22,2020,May,5,May 2020,Spring
2020-05-07,Seattle,0.0,128,0.046,0.0,2020,May,5,May 2020,Spring
2020-05-08,Seattle,0.0,129,0.162,0.0,2020,May,5,May 2020,Spring
2020-05-09,Seattle,0.0,130,0.008,0.0,2020,May,5,May 2020,Spring
2020-05-10,Seattle,0.0,131,0.0,0.0,2020,May,5,May 2020,Spring
2020-05-11,Seattle,0.0,132,0.02,0.0,2020,May,5,May 2020,Spring
2020-05-12,Seattle,0.08,133,0.16199999999999998,0.08,2020,May,5,May 2020,Spring
2020-05-13,Seattle,0.4,134,0.188,0.4,2020,May,5,May 2020,Spring
2020-05-14,Seattle,0.6,135,0.154,0.6,2020,May,5,May 2020,Spring
2020-05-15,Seattle,0.27,136,0.10800000000000001,0.27,2020,May,5,May 2020,Spring
2020-05-16,Seattle,0.0,137,0.046,0.0,2020,May,5,May 2020,Spring
2020-05-17,Seattle,0.26,138,0.074,0.26,2020,May,5,May 2020,Spring
2020-05-18,Seattle,0.46,139,0.22000000000000003,0.46,2020,May,5,May 2020,Spring
2020-05-19,Seattle,0.14,140,0.076,0.14,2020,May,5,May 2020,Spring
2020-05-20,Seattle,0.15,141,0.09,0.15,2020,May,5,May 2020,Spring
2020-05-21,Seattle,0.01,142,0.019999999999999997,0.01,2020,May,5,May 2020,Spring
2020-05-22,Seattle,0.12,143,0.024,0.12,2020,May,5,May 2020,Spring
2020-05-23,Seattle,0.0,144,0.0,0.0,2020,May,5,May 2020,Spring
2020-05-24,Seattle,0.0,145,0.076,0.0,2020,May,5,May 2020,Spring
2020-05-25,Seattle,0.0,146,0.148,0.0,2020,May,5,May 2020,Spring
2020-05-26,Seattle,0.0,147,0.014000000000000002,0.0,2020,May,5,May 2020,Spring
2020-05-27,Seattle,0.0,148,0.028000000000000004,0.0,2020,May,5,May 2020,Spring
2020-05-28,Seattle,0.0,149,0.20400000000000001,0.0,2020,May,5,May 2020,Spring
2020-05-29,Seattle,0.0,150,0.004,0.0,2020,May,5,May 2020,Spring
2020-05-30,Seattle,0.17,151,0.04,0.17,2020,May,5,May 2020,Spring
2020-05-31,Seattle,0.54,152,0.11600000000000002,0.54,2020,May,5,May 2020,Spring
2020-06-01,Seattle,0.0,153,0.0,0.0,2020,June,6,June 2020,Spring
2020-06-02,Seattle,0.0,154,0.0,0.0,2020,June,6,June 2020,Spring
2020-06-03,Seattle,0.0,155,0.036,0.0,2020,June,6,June 2020,Spring
2020-06-04,Seattle,0.0,156,0.098,0.0,2020,June,6,June 2020,Spring
2020-06-05,Seattle,0.0,157,0.038,0.0,2020,June,6,June 2020,Spring
2020-06-06,Seattle,0.0,158,0.006,0.0,2020,June,6,June 2020,Spring
2020-06-07,Seattle,0.32,159,0.07,0.32,2020,June,6,June 2020,Spring
2020-06-08,Seattle,1.14,160,0.382,1.14,2020,June,6,June 2020,Spring
2020-06-09,Seattle,0.1,161,0.316,0.1,2020,June,6,June 2020,Spring
2020-06-10,Seattle,0.06,162,0.20400000000000001,0.06,2020,June,6,June 2020,Spring
2020-06-11,Seattle,0.0,163,0.10800000000000001,0.0,2020,June,6,June 2020,Spring
2020-06-12,Seattle,0.1,164,0.186,0.1,2020,June,6,June 2020,Spring
2020-06-13,Seattle,0.27,165,0.134,0.27,2020,June,6,June 2020,Spring
2020-06-14,Seattle,0.12,166,0.05600000000000001,0.12,2020,June,6,June 2020,Spring
2020-06-15,Seattle,0.23,167,0.074,0.23,2020,June,6,June 2020,Spring
2020-06-16,Seattle,0.53,168,0.158,0.53,2020,June,6,June 2020,Spring
2020-06-17,Seattle,0.48,169,0.126,0.48,2020,June,6,June 2020,Spring
2020-06-18,Seattle,0.0,170,0.054000000000000006,0.0,2020,June,6,June 2020,Spring
2020-06-19,Seattle,0.0,171,0.002,0.0,2020,June,6,June 2020,Spring
2020-06-20,Seattle,0.0,172,0.004,0.0,2020,June,6,June 2020,Summer
2020-06-21,Seattle,0.05,173,0.01,0.05,2020,June,6,June 2020,Summer
2020-06-22,Seattle,0.0,174,0.0,0.0,2020,June,6,June 2020,Summer
2020-06-23,Seattle,0.0,175,0.0,0.0,2020,June,6,June 2020,Summer
2020-06-24,Seattle,0.0,176,0.0,0.0,2020,June,6,June 2020,Summer
2020-06-25,Seattle,0.0,177,0.0,0.0,2020,June,6,June 2020,Summer
2020-06-26,Seattle,0.0,178,0.02,0.0,2020,June,6,June 2020,Summer
2020-06-27,Seattle,0.0,179,0.038,0.0,2020,June,6,June 2020,Summer
2020-06-28,Seattle,0.0,180,0.0,0.0,2020,June,6,June 2020,Summer
2020-06-29,Seattle,0.01,181,0.002,0.01,2020,June,6,June 2020,Summer
2020-06-30,Seattle,0.0,182,0.0,0.0,2020,June,6,June 2020,Summer
2020-07-01,Seattle,0.0,183,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-02,Seattle,0.0,184,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-03,Seattle,0.0,185,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-04,Seattle,0.0,186,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-05,Seattle,0.0,187,0.0175,0.0,2020,July,7,July 2020,Summer
2020-07-06,Seattle,0.0,188,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-07,Seattle,,189,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-08,Seattle,0.0,190,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-09,Seattle,0.0,191,0.004,0.0,2020,July,7,July 2020,Summer
2020-07-10,Seattle,0.0,192,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-11,Seattle,0.0,193,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-12,Seattle,0.0,194,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-13,Seattle,0.0,195,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-14,Seattle,0.0,196,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-15,Seattle,0.0,197,0.002,0.0,2020,July,7,July 2020,Summer
2020-07-16,Seattle,0.0,198,0.004,0.0,2020,July,7,July 2020,Summer
2020-07-17,Seattle,0.0,199,0.012,0.0,2020,July,7,July 2020,Summer
2020-07-18,Seattle,0.0,200,0.002,0.0,2020,July,7,July 2020,Summer
2020-07-19,Seattle,0.0,201,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-20,Seattle,0.0,202,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-21,Seattle,0.0,203,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-22,Seattle,0.0,204,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-23,Seattle,0.0,205,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-24,Seattle,0.0,206,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-25,Seattle,0.0,207,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-26,Seattle,0.0,208,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-27,Seattle,0.0,209,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-28,Seattle,0.0,210,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-29,Seattle,0.0,211,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-30,Seattle,0.0,212,0.0,0.0,2020,July,7,July 2020,Summer
2020-07-31,Seattle,0.0,213,0.0,0.0,2020,July,7,July 2020,Summer
2020-08-01,Seattle,0.0,214,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-02,Seattle,0.0,215,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-03,Seattle,0.0,216,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-04,Seattle,0.0,217,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-05,Seattle,0.0,218,0.004,0.0,2020,August,8,August 2020,Summer
2020-08-06,Seattle,0.02,219,0.004,0.02,2020,August,8,August 2020,Summer
2020-08-07,Seattle,0.13,220,0.026000000000000002,0.13,2020,August,8,August 2020,Summer
2020-08-08,Seattle,0.0,221,0.004,0.0,2020,August,8,August 2020,Summer
2020-08-09,Seattle,0.0,222,0.004,0.0,2020,August,8,August 2020,Summer
2020-08-10,Seattle,0.0,223,0.006,0.0,2020,August,8,August 2020,Summer
2020-08-11,Seattle,0.0,224,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-12,Seattle,0.0,225,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-13,Seattle,0.0,226,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-14,Seattle,0.0,227,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-15,Seattle,0.0,228,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-16,Seattle,0.0,229,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-17,Seattle,0.0,230,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-18,Seattle,0.0,231,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-19,Seattle,0.0,232,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-20,Seattle,0.0,233,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-21,Seattle,0.0,234,0.06,0.0,2020,August,8,August 2020,Summer
2020-08-22,Seattle,0.0,235,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-23,Seattle,0.0,236,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-24,Seattle,0.0,237,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-25,Seattle,0.0,238,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-26,Seattle,0.0,239,0.01,0.0,2020,August,8,August 2020,Summer
2020-08-27,Seattle,0.0,240,0.0,0.0,2020,August,8,August 2020,Summer
2020-08-28,Seattle,0.0,241,0.008,0.0,2020,August,8,August 2020,Summer
2020-08-29,Seattle,0.0,242,0.0075,0.0,2020,August,8,August 2020,Summer
2020-08-30,Seattle,0.0,243,0.01,0.0,2020,August,8,August 2020,Summer
2020-08-31,Seattle,0.0,244,0.0,0.0,2020,August,8,August 2020,Summer
2020-09-01,Seattle,0.0,245,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-02,Seattle,0.0,246,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-03,Seattle,0.0,247,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-04,Seattle,0.0,248,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-05,Seattle,0.0,249,0.016,0.0,2020,September,9,September 2020,Summer
2020-09-06,Seattle,0.0,250,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-07,Seattle,0.0,251,0.04,0.0,2020,September,9,September 2020,Summer
2020-09-08,Seattle,0.0,252,0.11599999999999999,0.0,2020,September,9,September 2020,Summer
2020-09-09,Seattle,0.0,253,0.064,0.0,2020,September,9,September 2020,Summer
2020-09-10,Seattle,0.0,254,0.126,0.0,2020,September,9,September 2020,Summer
2020-09-11,Seattle,0.0,255,0.01,0.0,2020,September,9,September 2020,Summer
2020-09-12,Seattle,0.0,256,0.012,0.0,2020,September,9,September 2020,Summer
2020-09-13,Seattle,0.0,257,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-14,Seattle,0.0,258,0.0,0.0,2020,September,9,September 2020,Summer
2020-09-15,Seattle,0.0,259,0.20800000000000002,0.0,2020,September,9,September 2020,Summer
2020-09-16,Seattle,0.0,260,0.076,0.0,2020,September,9,September 2020,Summer
2020-09-17,Seattle,0.0,261,0.256,0.0,2020,September,9,September 2020,Summer
2020-09-18,Seattle,0.18,262,0.45599999999999996,0.18,2020,September,9,September 2020,Summer
2020-09-19,Seattle,0.91,263,0.202,0.91,2020,September,9,September 2020,Fall
2020-09-20,Seattle,0.02,264,0.02,0.02,2020,September,9,September 2020,Fall
2020-09-21,Seattle,0.0,265,0.026000000000000002,0.0,2020,September,9,September 2020,Fall
2020-09-22,Seattle,0.0,266,0.038,0.0,2020,September,9,September 2020,Fall
2020-09-23,Seattle,0.0,267,0.0,0.0,2020,September,9,September 2020,Fall
2020-09-24,Seattle,0.42,268,0.08399999999999999,0.42,2020,September,9,September 2020,Fall
2020-09-25,Seattle,0.0,269,0.0,0.0,2020,September,9,September 2020,Fall
2020-09-26,Seattle,0.35,270,0.11199999999999999,0.35,2020,September,9,September 2020,Fall
2020-09-27,Seattle,0.0,271,0.272,0.0,2020,September,9,September 2020,Fall
2020-09-28,Seattle,0.0,272,0.11200000000000002,0.0,2020,September,9,September 2020,Fall
2020-09-29,Seattle,0.0,273,0.032,0.0,2020,September,9,September 2020,Fall
2020-09-30,Seattle,0.0,274,0.0,0.0,2020,September,9,September 2020,Fall
2020-10-01,Seattle,0.0,275,0.0,0.0,2020,October,10,October 2020,Fall
2020-10-02,Seattle,0.0,276,0.024,0.0,2020,October,10,October 2020,Fall
2020-10-03,Seattle,0.0,277,0.03,0.0,2020,October,10,October 2020,Fall
2020-10-04,Seattle,0.0,278,0.01,0.0,2020,October,10,October 2020,Fall
2020-10-05,Seattle,0.0,279,0.126,0.0,2020,October,10,October 2020,Fall
2020-10-06,Seattle,0.0,280,0.016,0.0,2020,October,10,October 2020,Fall
2020-10-07,Seattle,0.0,281,0.032,0.0,2020,October,10,October 2020,Fall
2020-10-08,Seattle,0.0,282,0.07,0.0,2020,October,10,October 2020,Fall
2020-10-09,Seattle,0.0,283,0.041999999999999996,0.0,2020,October,10,October 2020,Fall
2020-10-10,Seattle,0.72,284,0.182,0.72,2020,October,10,October 2020,Fall
2020-10-11,Seattle,0.5,285,0.1,0.5,2020,October,10,October 2020,Fall
2020-10-12,Seattle,0.25,286,0.10200000000000001,0.25,2020,October,10,October 2020,Fall
2020-10-13,Seattle,0.01,287,0.018,0.01,2020,October,10,October 2020,Fall
2020-10-14,Seattle,0.19,288,0.041999999999999996,0.19,2020,October,10,October 2020,Fall
2020-10-15,Seattle,0.0,289,0.0,0.0,2020,October,10,October 2020,Fall
2020-10-16,Seattle,0.0,290,0.05,0.0,2020,October,10,October 2020,Fall
2020-10-17,Seattle,0.0,291,0.052000000000000005,0.0,2020,October,10,October 2020,Fall
2020-10-18,Seattle,0.0,292,0.066,0.0,2020,October,10,October 2020,Fall
2020-10-19,Seattle,0.03,293,0.032,0.03,2020,October,10,October 2020,Fall
2020-10-20,Seattle,0.0,294,0.019999999999999997,0.0,2020,October,10,October 2020,Fall
2020-10-21,Seattle,0.0,295,0.314,0.0,2020,October,10,October 2020,Fall
2020-10-22,Seattle,0.0,296,0.11000000000000001,0.0,2020,October,10,October 2020,Fall
2020-10-23,Seattle,0.0,297,0.032,0.0,2020,October,10,October 2020,Fall
2020-10-24,Seattle,0.05,298,0.10400000000000001,0.05,2020,October,10,October 2020,Fall
2020-10-25,Seattle,0.0,299,0.10400000000000001,0.0,2020,October,10,October 2020,Fall
2020-10-26,Seattle,0.0,300,0.096,0.0,2020,October,10,October 2020,Fall
2020-10-27,Seattle,0.0,301,0.1,0.0,2020,October,10,October 2020,Fall
2020-10-28,Seattle,0.0,302,0.2025,0.0,2020,October,10,October 2020,Fall
2020-10-29,Seattle,0.0,303,0.0875,0.0,2020,October,10,October 2020,Fall
2020-10-30,Seattle,,304,0.043333333333333335,0.043333333333333335,2020,October,10,October 2020,Fall
2020-10-31,Seattle,0.02,305,0.27599999999999997,0.02,2020,October,10,October 2020,Fall
2020-11-01,Seattle,0.0,306,0.184,0.0,2020,November,11,November 2020,Fall
2020-11-02,Seattle,0.0,307,0.041999999999999996,0.0,2020,November,11,November 2020,Fall
2020-11-03,Seattle,0.0,308,0.10400000000000001,0.0,2020,November,11,November 2020,Fall
2020-11-04,Seattle,0.01,309,0.366,0.01,2020,November,11,November 2020,Fall
2020-11-05,Seattle,0.01,310,0.22000000000000003,0.01,2020,November,11,November 2020,Fall
2020-11-06,Seattle,0.38,311,0.434,0.38,2020,November,11,November 2020,Fall
2020-11-07,Seattle,0.07,312,0.062,0.07,2020,November,11,November 2020,Fall
2020-11-08,Seattle,0.16,313,0.0775,0.16,2020,November,11,November 2020,Fall
2020-11-09,Seattle,0.0,314,0.0,0.0,2020,November,11,November 2020,Fall
2020-11-10,Seattle,0.1,315,0.45200000000000007,0.1,2020,November,11,November 2020,Fall
2020-11-11,Seattle,0.14,316,0.09000000000000001,0.14,2020,November,11,November 2020,Fall
2020-11-12,Seattle,0.0,317,0.068,0.0,2020,November,11,November 2020,Fall
2020-11-13,Seattle,0.3,318,0.068,0.3,2020,November,11,November 2020,Fall
2020-11-14,Seattle,0.74,319,0.22,0.74,2020,November,11,November 2020,Fall
2020-11-15,Seattle,1.18,320,0.35,1.18,2020,November,11,November 2020,Fall
2020-11-16,Seattle,0.4,321,0.08,0.4,2020,November,11,November 2020,Fall
2020-11-17,Seattle,0.0,322,0.0,0.0,2020,November,11,November 2020,Fall
2020-11-18,Seattle,0.51,323,0.152,0.51,2020,November,11,November 2020,Fall
2020-11-19,Seattle,0.75,324,0.16599999999999998,0.75,2020,November,11,November 2020,Fall
2020-11-20,Seattle,0.04,325,0.012,0.04,2020,November,11,November 2020,Fall
2020-11-21,Seattle,0.01,326,0.078,0.01,2020,November,11,November 2020,Fall
2020-11-22,Seattle,0.0,327,0.256,0.0,2020,November,11,November 2020,Fall
2020-11-23,Seattle,0.17,328,0.11599999999999999,0.17,2020,November,11,November 2020,Fall
2020-11-24,Seattle,0.04,329,0.066,0.04,2020,November,11,November 2020,Fall
2020-11-25,Seattle,0.36,330,0.244,0.36,2020,November,11,November 2020,Fall
2020-11-26,Seattle,0.07,331,0.146,0.07,2020,November,11,November 2020,Fall
2020-11-27,Seattle,0.0,332,0.156,0.0,2020,November,11,November 2020,Fall
2020-11-28,Seattle,0.02,333,0.06999999999999999,0.02,2020,November,11,November 2020,Fall
2020-11-29,Seattle,0.0,334,0.05800000000000001,0.0,2020,November,11,November 2020,Fall
2020-11-30,Seattle,0.09,335,0.44800000000000006,0.09,2020,November,11,November 2020,Fall
2020-12-01,Seattle,0.15,336,0.122,0.15,2020,December,12,December 2020,Fall
2020-12-02,Seattle,0.0,337,0.016,0.0,2020,December,12,December 2020,Fall
2020-12-03,Seattle,0.0,338,0.012,0.0,2020,December,12,December 2020,Fall
2020-12-04,Seattle,0.02,339,0.008,0.02,2020,December,12,December 2020,Fall
2020-12-05,Seattle,0.0,340,0.012,0.0,2020,December,12,December 2020,Fall
2020-12-06,Seattle,0.19,341,0.29200000000000004,0.19,2020,December,12,December 2020,Fall
2020-12-07,Seattle,0.04,342,0.096,0.04,2020,December,12,December 2020,Fall
2020-12-08,Seattle,0.0,343,0.186,0.0,2020,December,12,December 2020,Fall
2020-12-09,Seattle,0.21,344,0.20400000000000001,0.21,2020,December,12,December 2020,Fall
2020-12-10,Seattle,0.0,345,0.178,0.0,2020,December,12,December 2020,Fall
2020-12-11,Seattle,0.16,346,0.366,0.16,2020,December,12,December 2020,Fall
2020-12-12,Seattle,0.47,347,0.40800000000000003,0.47,2020,December,12,December 2020,Fall
2020-12-13,Seattle,0.22,348,0.192,0.22,2020,December,12,December 2020,Fall
2020-12-14,Seattle,0.59,349,0.16399999999999998,0.59,2020,December,12,December 2020,Fall
2020-12-15,Seattle,0.12,350,0.054000000000000006,0.12,2020,December,12,December 2020,Fall
2020-12-16,Seattle,0.08,351,0.1,0.08,2020,December,12,December 2020,Fall
2020-12-17,Seattle,0.57,352,0.248,0.57,2020,December,12,December 2020,Fall
2020-12-18,Seattle,0.06,353,0.414,0.06,2020,December,12,December 2020,Fall
2020-12-19,Seattle,0.06,354,0.434,0.06,2020,December,12,December 2020,Winter
2020-12-20,Seattle,1.05,355,0.41200000000000003,1.05,2020,December,12,December 2020,Winter
2020-12-21,Seattle,0.45,356,0.372,0.45,2020,December,12,December 2020,Winter
2020-12-22,Seattle,0.31,357,0.41,0.31,2020,December,12,December 2020,Winter
2020-12-23,Seattle,0.05,358,0.20400000000000001,0.05,2020,December,12,December 2020,Winter
2020-12-24,Seattle,0.0,359,0.258,0.0,2020,December,12,December 2020,Winter
2020-12-25,Seattle,0.0,360,0.064,0.0,2020,December,12,December 2020,Winter
2020-12-26,Seattle,1.02,361,0.6839999999999999,1.02,2020,December,12,December 2020,Winter
2020-12-27,Seattle,0.03,362,0.33399999999999996,0.03,2020,December,12,December 2020,Winter
2020-12-28,Seattle,0.0,363,0.076,0.0,2020,December,12,December 2020,Winter
2020-12-29,Seattle,0.0,364,0.11800000000000002,0.0,2020,December,12,December 2020,Winter
2020-12-30,Seattle,0.03,365,0.198,0.03,2020,December,12,December 2020,Winter
2020-12-31,Seattle,0.48,366,0.48,0.48,2020,December,12,December 2020,Winter
2021-01-01,Seattle,0.02,1,0.128,0.02,2021,January,1,January 2021,Winter
2021-01-02,Seattle,0.2,2,0.084,0.2,2021,January,1,January 2021,Winter
2021-01-03,Seattle,0.7,3,0.242,0.7,2021,January,1,January 2021,Winter
2021-01-04,Seattle,0.08,4,0.438,0.08,2021,January,1,January 2021,Winter
2021-01-05,Seattle,0.78,5,0.312,0.78,2021,January,1,January 2021,Winter
2021-01-06,Seattle,0.24,6,0.32599999999999996,0.24,2021,January,1,January 2021,Winter
2021-01-07,Seattle,0.53,7,0.18,0.53,2021,January,1,January 2021,Winter
2021-01-08,Seattle,0.4,8,0.21200000000000002,0.4,2021,January,1,January 2021,Winter
2021-01-09,Seattle,0.23,9,0.20800000000000002,0.23,2021,January,1,January 2021,Winter
2021-01-10,Seattle,0.14,10,0.162,0.14,2021,January,1,January 2021,Winter
2021-01-11,Seattle,0.0,11,0.186,0.0,2021,January,1,January 2021,Winter
2021-01-12,Seattle,0.46,12,0.26,0.46,2021,January,1,January 2021,Winter
2021-01-13,Seattle,0.76,13,0.276,0.76,2021,January,1,January 2021,Winter
2021-01-14,Seattle,0.01,14,0.148,0.01,2021,January,1,January 2021,Winter
2021-01-15,Seattle,0.02,15,0.008,0.02,2021,January,1,January 2021,Winter
2021-01-16,Seattle,0.06,16,0.21400000000000002,0.06,2021,January,1,January 2021,Winter
2021-01-17,Seattle,0.03,17,0.04,0.03,2021,January,1,January 2021,Winter
2021-01-18,Seattle,0.01,18,0.194,0.01,2021,January,1,January 2021,Winter
2021-01-19,Seattle,0.0,19,0.262,0.0,2021,January,1,January 2021,Winter
2021-01-20,Seattle,0.0,20,0.256,0.0,2021,January,1,January 2021,Winter
2021-01-21,Seattle,0.02,21,0.202,0.02,2021,January,1,January 2021,Winter
2021-01-22,Seattle,0.0,22,0.096,0.0,2021,January,1,January 2021,Winter
2021-01-23,Seattle,0.0,23,0.03,0.0,2021,January,1,January 2021,Winter
2021-01-24,Seattle,0.0,24,0.22400000000000003,0.0,2021,January,1,January 2021,Winter
2021-01-25,Seattle,0.25,25,0.156,0.25,2021,January,1,January 2021,Winter
2021-01-26,Seattle,0.05,26,0.21400000000000002,0.05,2021,January,1,January 2021,Winter
2021-01-27,Seattle,0.29,27,0.10200000000000001,0.29,2021,January,1,January 2021,Winter
2021-01-28,Seattle,0.71,28,0.286,0.71,2021,January,1,January 2021,Winter
2021-01-29,Seattle,0.13,29,0.146,0.13,2021,January,1,January 2021,Winter
2021-01-30,Seattle,0.03,30,0.248,0.03,2021,January,1,January 2021,Winter
2021-01-31,Seattle,0.24,31,0.10400000000000001,0.24,2021,January,1,January 2021,Winter
2021-02-01,Seattle,0.18,32,0.08199999999999999,0.18,2021,February,2,February 2021,Winter
2021-02-02,Seattle,0.36,33,0.16,0.36,2021,February,2,February 2021,Winter
2021-02-03,Seattle,1.08,34,0.34,1.08,2021,February,2,February 2021,Winter
2021-02-04,Seattle,0.0,35,0.064,0.0,2021,February,2,February 2021,Winter
2021-02-05,Seattle,0.03,36,0.08,0.03,2021,February,2,February 2021,Winter
2021-02-06,Seattle,0.07,37,0.05,0.07,2021,February,2,February 2021,Winter
2021-02-07,Seattle,0.0,38,0.01,0.0,2021,February,2,February 2021,Winter
2021-02-08,Seattle,0.02,39,0.0625,0.02,2021,February,2,February 2021,Winter
2021-02-09,Seattle,0.0,40,0.2425,0.0,2021,February,2,February 2021,Winter
2021-02-10,Seattle,0.0,41,0.006,0.0,2021,February,2,February 2021,Winter
2021-02-11,Seattle,0.0,42,0.034,0.0,2021,February,2,February 2021,Winter
2021-02-12,Seattle,0.39,43,0.11600000000000002,0.39,2021,February,2,February 2021,Winter
2021-02-13,Seattle,0.75,44,0.23399999999999999,0.75,2021,February,2,February 2021,Winter
2021-02-14,Seattle,0.3,45,0.152,0.3,2021,February,2,February 2021,Winter
2021-02-15,Seattle,0.22,46,0.198,0.22,2021,February,2,February 2021,Winter
2021-02-16,Seattle,0.16,47,0.282,0.16,2021,February,2,February 2021,Winter
2021-02-17,Seattle,0.11,48,0.1,0.11,2021,February,2,February 2021,Winter
2021-02-18,Seattle,0.0,49,0.038,0.0,2021,February,2,February 2021,Winter
2021-02-19,Seattle,0.58,50,0.16999999999999998,0.58,2021,February,2,February 2021,Winter
2021-02-20,Seattle,0.34,51,0.126,0.34,2021,February,2,February 2021,Winter
2021-02-21,Seattle,0.06,52,0.164,0.06,2021,February,2,February 2021,Winter
2021-02-22,Seattle,0.03,53,0.134,0.03,2021,February,2,February 2021,Winter
2021-02-23,Seattle,0.13,54,0.086,0.13,2021,February,2,February 2021,Winter
2021-02-24,Seattle,0.02,55,0.32599999999999996,0.02,2021,February,2,February 2021,Winter
2021-02-25,Seattle,0.02,56,0.532,0.02,2021,February,2,February 2021,Winter
2021-02-26,Seattle,0.17,57,0.33199999999999996,0.17,2021,February,2,February 2021,Winter
2021-02-27,Seattle,0.21,58,0.132,0.21,2021,February,2,February 2021,Winter
